adduser	3.118
apt	1.8.2.1
apt-utils	1.8.2.1
autoconf	2.69-11
automake	1:1.16.1-4
autopoint	0.19.8.1-9
autotools-dev	20180224.1
base-files	10.3+deb10u3
base-passwd	3.5.46
bash	5.0-4
binutils	2.31.1-16
binutils-aarch64-linux-gnu	2.31.1-16
binutils-common:amd64	2.31.1-16
binutils-x86-64-linux-gnu	2.31.1-16
bsd-mailx	8.1.2-0.20180807cvs-1
bsdmainutils	11.1.2+b1
bsdutils	1:2.33.1-0.1
build-essential	12.6
bzip2	1.0.6-9.2~deb10u1
ca-certificates	20190110
cmake	3.13.4-1
cmake-data	3.13.4-1
coreutils	8.30-3
cpp	4:8.3.0-1
cpp-8	8.3.0-6
cpp-8-aarch64-linux-gnu	8.3.0-2cross1
cpp-aarch64-linux-gnu	4:8.3.0-1
cron	3.0pl1-134+deb10u1
cross-config	2.6.15-3
crossbuild-essential-arm64	12.6
curl	7.64.0-4+deb10u1
dash	0.5.10.2-5
dbus	1.12.16-1
debconf	1.5.71
debhelper	12.1.1
debian-archive-keyring	2019.1
debianutils	4.8.6.1
dh-autoreconf	19
dh-python	3.20190308
dh-strip-nondeterminism	1.1.2-1
dialog	1.3-20190211-1
diffutils	1:3.7-3
dirmngr	2.2.12-1+deb10u1
dmsetup	2:1.02.155-3
dns-root-data	2019031302
dnsmasq	2.80-1
dnsmasq-base	2.80-1
dpkg	1.19.7
dpkg-cross	2.6.15-3
dpkg-dev	1.19.7
dwz	0.12-3
e2fsprogs	1.44.5-1+deb10u3
equivs	2.2.0
exim4-base	4.92-8+deb10u4
exim4-config	4.92-8+deb10u4
exim4-daemon-light	4.92-8+deb10u4
fakeroot	1.23-1
fdisk	2.33.1-0.1
file	1:5.35-4+deb10u1
findutils	4.6.0+git+20190209-2
g++	4:8.3.0-1
g++-8	8.3.0-6
g++-8-aarch64-linux-gnu	8.3.0-2cross1
g++-aarch64-linux-gnu	4:8.3.0-1
gcc	4:8.3.0-1
gcc-8	8.3.0-6
gcc-8-aarch64-linux-gnu	8.3.0-2cross1
gcc-8-aarch64-linux-gnu-base:amd64	8.3.0-2cross1
gcc-8-base:amd64	8.3.0-6
gcc-8-cross-base	8.3.0-2cross1
gcc-aarch64-linux-gnu	4:8.3.0-1
gettext	0.19.8.1-9
gettext-base	0.19.8.1-9
gir1.2-glib-2.0:amd64	1.58.3-2
git	1:2.20.1-2+deb10u3
git-man	1:2.20.1-2+deb10u3
gnupg	2.2.12-1+deb10u1
gnupg-l10n	2.2.12-1+deb10u1
gnupg-utils	2.2.12-1+deb10u1
gpg	2.2.12-1+deb10u1
gpg-agent	2.2.12-1+deb10u1
gpg-wks-client	2.2.12-1+deb10u1
gpg-wks-server	2.2.12-1+deb10u1
gpgconf	2.2.12-1+deb10u1
gpgsm	2.2.12-1+deb10u1
gpgv	2.2.12-1+deb10u1
grep	3.3-1
groff-base	1.22.4-3
gzip	1.9-3
hostname	3.21
init-system-helpers	1.56+nmu1
intltool-debian	0.35.0+20060710.5
iproute2	4.20.0-2
iptables	1.8.2-4
krb5-locales	1.17-3
less	487-0.1+b1
libacl1:amd64	2.2.53-4
libalgorithm-diff-perl	1.19.03-2
libalgorithm-diff-xs-perl	0.04-5+b1
libalgorithm-merge-perl	0.08-3
libapparmor1:amd64	2.13.2-10
libapt-inst2.0:amd64	1.8.2.1
libapt-pkg5.0:amd64	1.8.2
libarchive-cpio-perl	0.10-1
libarchive-zip-perl	1.64-1
libarchive13:amd64	3.3.3-4+deb10u1
libargon2-1:amd64	0~20171227-0.2
libasan5:amd64	8.3.0-6
libasan5-arm64-cross	8.3.0-2cross1
libassuan0:amd64	2.5.2-1
libatm1:amd64	1:2.5.1-2
libatomic1:amd64	8.3.0-6
libatomic1-arm64-cross	8.3.0-2cross1
libattr1:amd64	1:2.4.48-4
libaudit-common	1:2.8.4-3
libaudit1:amd64	1:2.8.4-3
libauthen-sasl-perl	2.1600-1
libbinutils:amd64	2.31.1-16
libblkid1:amd64	2.33.1-0.1
libbsd0:amd64	0.9.1-2
libbz2-1.0:amd64	1.0.6-9.2~deb10u1
libc-bin	2.28-10
libc-dev-bin	2.28-10
libc6:amd64	2.28-10
libc6-arm64-cross	2.28-7cross1
libc6-dev:amd64	2.28-10
libc6-dev-arm64-cross	2.28-7cross1
libcap-dev:amd64	1:2.25-2
libcap-ng0:amd64	0.7.9-2
libcap2:amd64	1:2.25-2
libcap2-bin	1:2.25-2
libcc1-0:amd64	8.3.0-6
libcom-err2:amd64	1.44.5-1+deb10u3
libconfig-auto-perl	0.44-1
libconfig-inifiles-perl	3.000001-1
libcroco3:amd64	0.6.12-3
libcryptsetup12:amd64	2:2.1.0-5+deb10u2
libcurl3-gnutls:amd64	7.64.0-4+deb10u1
libcurl4:amd64	7.64.0-4+deb10u1
libdata-dump-perl	1.23-1
libdb5.3:amd64	5.3.28+dfsg1-0.5
libdbus-1-3:amd64	1.12.16-1
libdebconfclient0:amd64	0.249
libdebian-dpkgcross-perl	2.6.15-3
libdevmapper1.02.1:amd64	2:1.02.155-3
libdpkg-perl	1.19.7
libdrm-amdgpu1:amd64	2.4.97-1
libdrm-common	2.4.97-1
libdrm-dev:amd64	2.4.97-1
libdrm-intel1:amd64	2.4.97-1
libdrm-nouveau2:amd64	2.4.97-1
libdrm-radeon1:amd64	2.4.97-1
libdrm2:amd64	2.4.97-1
